news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,Cluster,PCA1,PCA2
AARP,center,3.0,Think Tank / Policy Group,1404,2343,0.3746997598078462,https://www.allsides.com/news-source/aarp-media-bias,0,0,0,0,,https://twitter.com/AARP,https://en.wikipedia.org/wiki/AARP,,AARP,0,1005.6764624222467,827.3141950531326
ABC News,left-center,2.0,News Media,13793,9409,0.5944746142573916,https://www.allsides.com/news-source/abc-news-media-bias,0,1,1,1,High,https://twitter.com/ABC,https://en.wikipedia.org/wiki/ABC_News,https://www.facebook.com/ABCNews/,ABC,2,14839.176298503953,-2643.991195385439
Abridge News,allsides,,News Media,31,17,0.6458333333333334,https://www.allsides.com/news-source/abridge-news-media-bias,0,0,0,1,High,https://twitter.com/Abridge_News,,https://www.facebook.com/AbridgeNews,Abridge_News,0,-1595.0304516589422,98.11707020058321
Accuracy in Media,right,5.0,Think Tank / Policy Group,743,444,0.6259477674810446,https://www.allsides.com/news-source/accuracy-media,0,0,0,1,Medium,,https://en.wikipedia.org/wiki/Accuracy_in_Media,,,0,-785.542714623091,-86.28082952160536
ACLU,left-center,2.0,Think Tank / Policy Group,1272,1697,0.4284270798248568,https://www.allsides.com/news-source/american-civil-liberties-union,0,0,0,0,,https://twitter.com/@ACLU,https://en.wikipedia.org/wiki/American_Civil_Liberties_Union,https://www.facebook.com/aclu/,ACLU,0,463.3798855738644,452.2749788955912
AJ+,left,1.0,News Media,13,5,0.7222222222222222,https://www.allsides.com/news-source/aj-media-bias,0,0,0,1,Low or Initial Rating,,,,,0,-1616.328856228046,101.90883532535567
Al Cardenas,right,5.0,Author,353,238,0.5972927241962775,https://www.allsides.com/news-source/al-cardenas,0,0,0,0,,,,,,0,-1209.6431243723487,34.85902197880675
Al Jazeera,left-center,2.0,News Media,3707,6138,0.376536312849162,https://www.allsides.com/news-source/al-jazeera-america,0,0,1,1,Low or Initial Rating,https://twitter.com/@AJEnglish,https://en.wikipedia.org/wiki/Al_Jazeera,"https://www.facebook.com/aljazeera/ 
",AJEnglish,2,5294.267342450414,1973.5352405027236
AllSides,allsides,,News Media,3301,1308,0.7162074202646995,https://www.allsides.com/news-source/allsides-0,0,0,0,0,High,,,,,0,1659.0382048486783,-1232.5286361782526
AllSides Community,allsides,,News Media,2142,1273,0.6272327964860908,https://www.allsides.com/news-source/allsides-community,0,0,0,0,High,,,,,0,798.0853881786768,-455.8264722174036
